"game_id","season","type","date_time","away_team_id","home_team_id","away_goals","home_goals","outcome","home_rink_side_start","venue","venue_link","venue_time_zone_id","venue_time_zone_offset","venue_time_zone_tz"
"2012030221","20122013","P",2013-05-16,"3","6",2,3,"home win OT","left","TD Garden","/api/v1/venues/null","America/New_York",-4,"EDT"
"2012030222","20122013","P",2013-05-19,"3","6",2,5,"home win REG","left","TD Garden","/api/v1/venues/null","America/New_York",-4,"EDT"
"2012030223","20122013","P",2013-05-21,"6","3",2,1,"away win REG","right","Madison Square Garden","/api/v1/venues/null","America/New_York",-4,"EDT"
"2012030224","20122013","P",2013-05-23,"6","3",3,4,"home win OT","right","Madison Square Garden","/api/v1/venues/null","America/New_York",-4,"EDT"
"2012030225","20122013","P",2013-05-25,"3","6",1,3,"home win REG","left","TD Garden","/api/v1/venues/null","America/New_York",-4,"EDT"
"2012030131","20122013","P",2013-05-02,"3","15",1,3,"home win REG","right","Verizon Center","/api/v1/venues/null","America/New_York",-4,"EDT"
"2012030133","20122013","P",2013-05-06,"15","3",3,4,"home win REG","right","Madison Square Garden","/api/v1/venues/null","America/New_York",-4,"EDT"
"2012030311","20122013","P",2013-06-02,"6","5",3,0,"away win REG","left","CONSOL Energy Center","/api/v1/venues/null","America/New_York",-4,"EDT"
"2015030133","20152016","P",2016-04-18,"15","4",6,1,"away win REG","right","Wells Fargo Center","/api/v1/venues/null","America/New_York",-4,"EDT"
"2017030141","20172018","P",2018-04-11,"4","5",0,7,"home win REG","left","PPG Paints Arena","/api/v1/venues/null","America/New_York",-4,"EDT"
"2012030313","20122013","P",2013-06-06,"5","6",1,2,"home win OT","left","TD Garden","/api/v1/venues/null","America/New_York",-4,"EDT"
"2015030135","20152016","P",2016-04-22,"4","15",2,0,"away win REG","right","Verizon Center","/api/v1/venues/null","America/New_York",-4,"EDT"
